index,dataset,Rils-Rols,AIFeynman,Operon,AFP_FE,AFP,BSR,DSR,EPLEX,FEAT,FFX,GP-GOMEA,ITEA,MRGP,SBP-GP,gplearn
19,feynman_II_11_3,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,feynman_II_13_17,30,0.0,0.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,feynman_II_13_23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,feynman_II_13_34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,feynman_II_15_4,80,0.0,0.0,20.0,0.0,0.0,75.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0
24,feynman_II_15_5,90,0.0,0.0,10.0,25.0,0.0,100.0,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,12.5
25,feynman_II_21_32,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,feynman_II_24_17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,feynman_II_27_16,100,0.0,0.0,10.0,25.0,0.0,0.0,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,20.0
28,feynman_II_27_18,100,0.0,0.0,0.0,12.5,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
29,feynman_II_2_42,70,0.0,0.0,30.0,12.5,0.0,37.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,62.5
30,feynman_II_34_11,90,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,feynman_II_34_2,90,0.0,0.0,20.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5
32,feynman_II_34_29a,0,0.0,0.0,30.0,12.5,0.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,feynman_II_34_29b,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,feynman_II_34_2a,0,0.0,0.0,30.0,37.5,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5
35,feynman_II_35_18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,feynman_II_35_21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,feynman_II_36_38,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,feynman_II_37_1,100,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5
39,feynman_II_38_14,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,feynman_II_38_3,90,0.0,0.0,0.0,0.0,0.0,62.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5
41,feynman_II_3_24,100,0.0,0.0,50.0,25.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5
42,feynman_II_4_23,100,0.0,0.0,10.0,37.5,0.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0
43,feynman_II_6_11,90,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,feynman_II_6_15a,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,feynman_II_6_15b,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,feynman_II_8_31,90,0.0,0.0,20.0,12.5,0.0,12.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
47,feynman_II_8_7,0,0.0,0.0,20.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,feynman_I_10_7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,feynman_I_11_19,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,feynman_I_12_1,90,0.0,0.0,10.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0
51,feynman_I_12_11,80,0.0,0.0,10.0,12.5,0.0,75.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,37.5
52,feynman_I_12_2,90,0.0,0.0,20.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,feynman_I_12_4,100,0.0,0.0,10.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,feynman_I_12_5,90,0.0,0.0,10.0,37.5,0.0,0.0,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,100.0
55,feynman_I_13_12,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5
56,feynman_I_13_4,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,feynman_I_14_3,90,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
58,feynman_I_14_4,100,0.0,0.0,10.0,12.5,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,feynman_I_15_10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,feynman_I_15_3t,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,feynman_I_15_3x,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,feynman_I_16_6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,feynman_I_18_12,80,0.0,0.0,20.0,25.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
64,feynman_I_18_14,80,0.0,0.0,10.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,37.5
65,feynman_I_18_4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,feynman_I_24_6,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,feynman_I_25_13,100,0.0,0.0,10.0,25.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0
68,feynman_I_27_6,100,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
69,feynman_I_29_16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,feynman_I_29_4,100,0.0,0.0,0.0,12.5,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
71,feynman_I_32_17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,feynman_I_32_5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,feynman_I_34_1,90,0.0,0.0,0.0,12.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
74,feynman_I_34_14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,feynman_I_34_27,0,0.0,0.0,40.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
76,feynman_I_34_8,80,0.0,0.0,10.0,37.5,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5
77,feynman_I_37_4,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,feynman_I_38_12,0,0.0,0.0,20.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5
79,feynman_I_39_1,90,0.0,0.0,10.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5
80,feynman_I_39_11,100,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,feynman_I_39_22,90,0.0,0.0,0.0,37.5,0.0,75.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,87.5
82,feynman_I_40_1,0,0.0,0.0,10.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,feynman_I_41_16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,feynman_I_43_16,90,0.0,0.0,40.0,62.5,0.0,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,87.5
85,feynman_I_43_31,100,0.0,0.0,10.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5
86,feynman_I_43_43,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,feynman_I_44_4,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,feynman_I_47_23,100,0.0,0.0,30.0,12.5,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5
89,feynman_I_48_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,feynman_I_50_26,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,feynman_I_6_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,feynman_I_6_2a,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,feynman_I_6_2b,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,feynman_I_8_14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,feynman_I_9_18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,feynman_test_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,feynman_test_11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,feynman_test_12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,feynman_test_13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,feynman_test_14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,feynman_test_15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,feynman_test_16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,feynman_test_18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,feynman_test_19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,feynman_test_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,feynman_test_3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,feynman_test_4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,feynman_test_5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,feynman_test_6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,feynman_test_7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,feynman_test_8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
